[49101.96875, 262105.90625, 434329.1875]	425182,714,180,21,3747,532,3229,0.3214285714285714	 150 R1: 0 1 2 7 5 9 1 2 8 6 1 7 5 1 2 4 11 9 8 2 6 1 3 11 9 5 0  R2: 0 10 6 11 10 4 6 1 3 2 5 1 8 2 3 2 1 7 8 9 10 6 4 5 8 9 11 3 10 0  R3: 0 8 9 8 1 2 4 6 3 4 6 8 4 10 1 3 11 6 2 8 2 5 1 11 0  R4: 0 8 5 8 4 9 1 3 11 8 5 1 9 4 10 3 11 6 10 0  R5: 0 7 10 0  R6: 0 2 3 5 4 3 11 5 7 2 8 4 1 5 7 3 9 2 9 5 6 10 11 0  R7: 0 7 1 5 11 7 0  R8: 0 1 4 0  R9: 0 4 6 0  R10: 0 3 7 5 9 7 3 5 1 11 8 2 10 0  R11: 0 9 4 10 2 9 4 1 9 5 10 7 6 9 7 4 3 2 8 3 7 1 6 5 10 0  R12: 0 10 11 6 10 11 7 9 8 3 0  R13: 0 3 5 3 9 7 2 6 10 3 8 4 10 6 8 5 10 6 7 3 1 8 0  R14: 0 8 4 3 0  R15: 0 6 4 3 5 7 1 2 0  R16: 0 1 4 3 0  R17: 0 5 2 0  R18: 0 6 4 6 9 5 0  R19: 0 9 1 0  R20: 0 10 5 1 11 4 9 0  R21: 0 5 3 0  
[45987.66015625, 250816.09375, 414696.0]	396964,756,174,17,3577,537,3476,0.2647058823529411	 150 R1: 0 1 2 7 5 9 1 2 8 6 1 8 1 2 9 3 7 5 9 11 3 10 6 5 8 7 9 0  R2: 0 4 9 7 3 7 6 5 7 10 0  R3: 0 9 6 0  R4: 0 2 1 2 10 9 2 10 4 1 3 6 4 8 2 10 3 4 8 6 5 0  R5: 0 1 4 9 2 9 7 10 8 5 9 2 11 0  R6: 0 4 10 5 1 10 5 3 4 3 5 7 8 4 2 11 6 10 1 0  R7: 0 2 8 4 3 2 0  R8: 0 3 10 3 5 11 9 6 10 6 5 10 4 6 10 0  R9: 0 3 9 5 2 7 6 11 5 11 8 7 5 7 11 2 10 8 10 1 4 3 10 6 8 0  R10: 0 8 3 0  R11: 0 7 5 7 9 8 1 8 1 5 11 9 0  R12: 0 10 8 0  R13: 0 1 8 11 8 4 3 2 5 8 1 2 9 8 1 11 9 5 10 1 3 11 6 2 7 9 0  R14: 0 7 3 5 1 0  R15: 0 6 4 6 1 5 9 0  R16: 0 4 2 6 11 5 6 8 11 4 3 6 1 8 10 9 4 11 1 5 8 1 3 6 11 7 0  R17: 0 9 1 0  
[47428.44921875, 242384.46875, 399982.53125]	413571,874,177,22,3448,504,3712,0.34090909090909094	 150 R1: 0 3 10 0  R2: 0 1 2 7 1 2 9 8 6 1 8 1 2 9 3 7 5 9 7 3 10 6 4 11 9 10 0  R3: 0 10 5 11 7 8 11 3 4 5 7 1 11 8 1 11 3 6 0  R4: 0 2 1 2 4 5 1 2 6 5 2 7 6 2 9 8 10 4 9 3 4 11 5 9 6 0  R5: 0 2 10 9 2 8 10 3 6 11 8 10 3 6 1 5 0  R6: 0 1 5 9 4 0  R7: 0 5 8 9 7 6 7 10 3 5 7 1 9 4 1 10 6 4 9 8 3 10 4 8 3 5 11 0  R8: 0 3 7 10 11 0  R9: 0 2 3 5 8 10 7 10 4 3 4 3 5 1 3 6 5 9 6 4 6 5 7 1 11 0  R10: 0 1 2 8 0  R11: 0 9 10 8 5 3 0  R12: 0 8 2 9 1 3 0  R13: 0 6 5 6 1 9 0  R14: 0 3 9 3 11 0  R15: 0 2 7 10 8 0  R16: 0 11 9 0  R17: 0 10 7 8 5 1 4 10 11 9 6 11 8 0  R18: 0 8 5 4 3 0  R19: 0 1 7 9 7 5 2 9 4 11 8 6 10 3 0  R20: 0 11 7 0  R21: 0 4 8 5 6 0  R22: 0 2 10 2 8 11 6 0  
[47329.66796875, 275877.9375, 457275.5]	404060,921,190,19,3939,506,3253,0.3157894736842105	 150 R1: 0 8 3 0  R2: 0 5 9 7 6 0  R3: 0 4 8 3 10 7 11 8 3 5 7 4 10 4 10 1 6 8 0  R4: 0 8 7 1 4 0  R5: 0 6 10 0  R6: 0 3 10 11 8 3 5 6 0  R7: 0 5 10 0  R8: 0 9 3 9 10 11 8 9 10 4 3 5 7 6 8 11 2 4 11 6 9 11 6 5 8 10 9 0  R9: 0 2 9 5 6 5 4 5 7 11 2 8 6 10 8 3 1 10 4 0  R10: 0 6 5 8 4 0  R11: 0 6 7 4 7 10 8 1 10 3 9 6 4 9 1 5 6 0  R12: 0 3 1 9 5 2 11 7 8 6 5 11 10 5 7 6 5 1 4 8 1 2 0  R13: 0 7 1 3 1 5 1 2 3 2 5 1 2 10 9 8 7 2 11 4 6 3 8 3 0  R14: 0 7 9 7 3 11 5 0  R15: 0 2 3 10 7 2 8 6 1 8 1 2 9 3 7 5 2 7 1 6 10 1 4 11 5 0  R16: 0 11 8 4 0  R17: 0 4 3 0  R18: 0 6 9 1 0  R19: 0 4 2 6 2 1 10 5 11 9 4 1 8 10 6 3 5 9 7 5 3 10 5 9 11 0  
[49638.36328125, 279784.1875, 463756.0625]	426175,960,159,19,3994,523,3281,0.3026315789473685	 150 R1: 0 1 3 8 10 0  R2: 0 9 10 0  R3: 0 1 5 1 2 1 5 3 1 8 7 2 9 4 0  R4: 0 9 2 9 8 0  R5: 0 6 11 5 2 7 10 6 1 9 10 2 8 6 4 0  R6: 0 8 3 5 9 7 6 4 8 10 3 11 8 7 4 5 7 3 10 1 6 8 3 5 0  R7: 0 10 9 8 10 3 6 8 2 7 6 4 5 9 6 4 11 6 7 8 3 11 9 4 0  R8: 0 9 11 0  R9: 0 2 5 2 0  R10: 0 3 2 7 1 3 11 8 2 6 5 10 0  R11: 0 9 11 0  R12: 0 6 5 3 0  R13: 0 3 1 3 7 5 2 4 2 11 8 5 7 10 5 9 0  R14: 0 8 2 3 0  R15: 0 7 5 10 7 11 5 2 7 8 3 2 1 10 3 8 1 2 7 11 4 9 0  R16: 0 11 8 4 5 8 5 6 10 7 10 4 3 1 6 8 2 9 11 6 5 4 8 6 9 0  R17: 0 8 4 0  R18: 0 10 2 9 5 2 6 4 3 5 7 9 8 5 10 6 9 6 10 1 0  R19: 0 4 10 8 1 6 7 4 10 11 8 3 5 10 6 3 10 4 11 9 1 5 9 1 11 0  
[49264.94921875, 264447.65625, 438621.25]	426171,633,156,19,3786,493,3152,0.26315789473684215	 150 R1: 0 5 9 1 8 3 0  R2: 0 1 3 8 10 5 1 9 2 3 10 5 1 2 9 8 7 6 4 11 9 1 5 1 9 3 11 0  R3: 0 9 4 8 3 11 10 4 8 9 0  R4: 0 9 6 0  R5: 0 8 7 4 5 7 3 10 6 1 8 5 3 9 10 6 8 4 10 3 6 11 9 1 10 0  R6: 0 10 6 7 10 8 5 11 0  R7: 0 11 8 11 8 0  R8: 0 8 2 7 5 3 4 2 6 8 6 3 7 9 4 5 6 1 6 5 0  R9: 0 10 8 4 1 0  R10: 0 2 8 3 7 5 8 1 11 5 7 6 8 2 3 0  R11: 0 1 8 2 3 0  R12: 0 9 11 2 8 11 5 4 8 7 2 9 7 10 5 11 1 2 8 6 0  R13: 0 3 5 3 2 11 7 9 10 5 3 7 3 5 7 10 4 2 3 11 10 6 0  R14: 0 5 2 7 2 8 4 11 6 9 4 1 10 11 0  R15: 0 4 7 8 5 1 0  R16: 0 2 8 7 6 2 10 1 9 10 2 8 6 4 8 5 9 7 6 10 4 8 3 11 0  R17: 0 1 7 1 5 3 4 0  R18: 0 4 3 0  R19: 0 5 6 5 9 1 3 0  
[49756.64453125, 280728.4375, 465155.21875]	427157,1032,180,18,4004,549,3305,0.3055555555555556	 150 R1: 0 9 10 0  R2: 0 9 8 4 1 6 8 3 7 9 1 11 10 6 4 8 7 5 9 11 6 5 3 2 1 0  R3: 0 1 3 5 0  R4: 0 11 5 2 7 9 0  R5: 0 10 8 10 11 8 11 7 10 4 6 3 4 5 7 6 8 10 8 9 6 4 6 3 10 0  R6: 0 5 9 1 3 10 8 1 8 5 1 8 1 2 9 6 3 10 4 11 3 9 5 9 1 11 8 10 0  R7: 0 3 11 7 1 10 7 8 11 2 8 10 5 3 0  R8: 0 8 11 9 2 8 11 6 2 8 2 4 8 6 0  R9: 0 5 1 0  R10: 0 3 9 4 5 7 2 4 5 8 10 7 10 3 4 1 6 1 10 9 5 8 3 4 0  R11: 0 7 5 7 2 11 1 2 5 8 7 11 9 10 3 5 7 2 10 11 8 6 0  R12: 0 5 8 1 2 8 7 3 11 8 3 5 1 5 7 6 9 1 5 4 0  R13: 0 10 4 0  R14: 0 2 7 5 9 3 9 4 6 1 3 10 5 7 4 8 6 5 3 10 11 8 9 3 2 0  R15: 0 1 3 10 4 0  R16: 0 4 3 0  R17: 0 6 9 1 8 0  R18: 0 10 4 1 2 0  
[46800.9296875, 249097.015625, 411929.21875]	405508,739,188,22,3554,499,3474,0.3295454545454546	 150 R1: 0 8 10 3 6 0  R2: 0 4 3 0  R3: 0 9 6 4 6 0  R4: 0 8 1 8 3 2 5 6 9 2 3 11 8 1 9 11 10 1 8 2 4 0  R5: 0 10 2 5 8 11 2 7 9 5 10 4 7 2 3 4 1 6 9 8 1 3 4 0  R6: 0 9 7 11 9 11 6 8 6 8 10 1 8 1 5 3 4 0  R7: 0 3 5 0  R8: 0 2 1 4 0  R9: 0 3 10 0  R10: 0 9 10 9 8 1 4 6 8 1 4 8 3 7 9 5 9 11 6 10 11 2 1 9 4 0  R11: 0 2 7 6 9 0  R12: 0 10 5 7 10 5 7 1 5 2 8 7 6 4 0  R13: 0 3 1 3 5 7 9 2 0  R14: 0 7 5 3 1 11 7 10 5 8 6 3 2 5 10 8 11 7 11 6 3 10 5 9 1 11 0  R15: 0 7 9 0  R16: 0 11 2 8 5 2 11 7 8 9 5 1 7 0  R17: 0 5 7 2 0  R18: 0 1 4 7 5 1 3 11 0  R19: 0 6 5 4 0  R20: 0 4 7 6 8 10 4 3 10 5 8 3 1 10 6 9 5 3 10 4 6 8 3 5 7 0  R21: 0 9 1 0  R22: 0 10 4 11 2 11 0  
[50519.91796875, 251658.109375, 416293.09375]	442049,758,181,22,3591,538,3425,0.34090909090909094	 150 R1: 0 1 3 8 10 0  R2: 0 6 5 0  R3: 0 9 5 9 7 5 1 5 8 2 3 7 4 3 2 6 7 3 11 4 9 10 6 0  R4: 0 1 11 8 5 3 0  R5: 0 6 1 0  R6: 0 8 10 3 4 6 4 3 9 8 1 8 1 2 6 9 11 6 8 3 10 5 9 1 11 4 0  R7: 0 8 1 8 9 11 6 4 1 7 10 1 10 5 2 7 9 8 6 5 1 0  R8: 0 3 4 0  R9: 0 3 10 1 4 3 0  R10: 0 9 11 8 6 8 10 1 2 11 1 5 4 0  R11: 0 9 10 8 3 2 3 4 10 4 10 4 6 9 3 5 1 8 1 10 6 2 11 9 7 10 0  R12: 0 8 6 1 3 2 9 0  R13: 0 10 3 10 5 0  R14: 0 6 2 8 3 1 5 11 10 7 2 4 6 5 9 3 8 1 3 11 6 0  R15: 0 3 10 6 9 0  R16: 0 7 5 3 2 10 5 11 5 7 3 11 8 1 4 6 0  R17: 0 7 9 7 11 2 9 5 7 11 5 2 8 9 0  R18: 0 5 4 5 8 0  R19: 0 8 4 0  R20: 0 7 1 3 2 0  R21: 0 2 7 1 8 1 2 10 5 7 1 2 8 6 3 9 4 9 11 4 8 5 7 0  R22: 0 1 5 2 4 0  
[46242.515625, 249513.140625, 412789.0]	399806,698,177,15,3562,483,3434,0.25	 150 R1: 0 1 3 8 10 5 6 9 1 5 2 3 9 7 6 8 5 7 4 5 3 6 11 9 10 1 5 0  R2: 0 8 9 8 4 1 10 7 8 5 3 1 4 10 9 6 1 4 8 6 5 0  R3: 0 10 6 9 10 7 10 6 2 5 8 4 3 11 5 7 11 6 8 3 1 2 5 0  R4: 0 2 4 8 2 10 6 10 11 7 8 1 2 5 2 6 9 8 1 11 0  R5: 0 9 7 5 11 4 3 1 7 4 0  R6: 0 10 6 0  R7: 0 6 4 9 8 6 1 11 9 8 6 4 11 9 6 10 1 2 11 0  R8: 0 3 1 3 9 8 1 2 11 4 10 8 1 3 4 5 1 10 9 4 3 10 1 5 9 0  R9: 0 7 5 4 11 7 5 0  R10: 0 7 11 5 9 2 3 9 11 6 9 2 8 0  R11: 0 7 5 10 9 5 1 3 8 5 7 2 6 2 9 0  R12: 0 8 3 4 0  R13: 0 2 7 3 4 3 11 1 6 1 8 10 5 3 6 3 8 1 2 11 4 8 3 10 7 5 0  R14: 0 5 9 0  R15: 0 4 6 0  
