,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,510,511,512,513,514,515,516,517,518,519,520,521,522,523,524,525,526,527,528,529,530,531,532,533,534,535,536,537,538,539,540,541,542,543,544,545,546,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,566,567,568,569,570,571,572,573,574,575,576,577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597
0,70,72,62,59,64,61,58,62,67,61,66,66,60,63,66,69,69,72,72,72,73,70,70,67,63,64,66,69,68,69,69,66,65,67,67,67,66,66,64,64,64,61,59,59,59,59,56,56,51,51,46,47,48,48,46,46,45,45,48,45,46,46,47,46,47,45,44,44,43,42,41,41,41,42,43,44,43,43,43,43,44,42,44,43,43,44,44,42,42,42,44,44,40,39,38,37,38,35,36,35,35,34,33,33,33,33,33,33,31,32,33,33,33,36,35,35,35,35,34,32,32,32,32,32,32,32,32,32,32,33,32,32,32,31,31,31,33,33,34,34,33,33,33,33,33,33,33,33,33,33,34,34,34,33,32,32,32,33,33,34,35,35,35,35,35,35,34,34,34,35,35,35,35,34,35,34,33,32,32,32,32,32,32,30,30,30,31,31,31,31,32,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,32,32,32,32,32,33,34,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,36,36,36,36,36,37,38,38,38,38,39,39,39,40,40,40,41,41,41,40,40,40,40,40,41,41,41,41,43,44,44,44,43,43,43,43,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,40,40,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,40,40,39,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,42,42,41,41,41,40,39,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,37,37,37,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
1,59,58,67,66,58,59,62,62,65,66,63,55,64,66,71,69,69,70,67,70,70,72,67,68,72,72,72,72,72,71,68,64,68,67,67,70,72,70,68,69,68,67,62,62,57,56,53,52,56,56,54,55,55,54,56,56,52,51,52,51,50,52,51,53,54,52,51,50,51,51,51,51,49,49,51,50,52,50,50,50,51,50,50,51,51,49,48,49,49,47,46,46,46,45,45,44,45,46,47,48,48,45,46,46,45,45,44,43,45,44,42,41,40,42,43,43,43,40,40,40,40,40,40,40,40,41,40,40,40,39,38,38,37,36,36,36,36,35,35,35,35,34,34,34,34,34,35,36,36,36,36,36,35,34,35,35,36,36,36,36,36,36,36,36,37,37,37,37,36,37,36,36,36,37,37,38,37,37,37,36,36,36,36,36,36,35,35,35,35,36,36,35,35,36,36,36,37,37,36,35,35,35,35,35,35,35,34,34,34,34,34,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,35,35,35,35,35,35,35,36,36,36,36,36,36,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,38,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,42,42,42,42,41,41,41,41,41,41,41,41,42,42,42,42,42,42,40,40,40,40,40,40,40,40,39,39,38,38,38,38,38,38,38,38,38,38,38,38,37,37,36,37,37,37,38,38,39,39,39,39,39,39,39,39,39,38,38,38,38,38,39,39,39,40,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,44,44,45,45,45,45,45,45,46,46,45,44,43,43,43,43,43,43,43,44,44,45,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,43,43,43,43,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,43,43,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,41,41,41,42,42,42,42,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42
2,64,55,63,63,52,54,56,59,58,62,65,66,66,70,69,71,70,72,71,70,70,74,73,72,69,68,67,63,64,65,62,62,61,63,66,66,64,64,62,65,65,63,63,63,63,66,66,64,62,63,64,63,63,63,62,60,59,60,59,56,56,56,56,57,56,56,55,56,57,57,56,56,57,57,56,54,56,56,57,57,55,56,56,56,56,54,51,51,50,49,46,45,42,44,44,44,45,45,45,43,41,40,39,37,36,34,34,33,32,32,30,31,30,29,29,29,29,29,29,30,30,30,30,30,30,29,30,30,29,30,30,30,30,31,31,31,32,32,32,31,30,30,30,30,30,31,32,32,32,31,31,31,31,31,31,31,31,31,32,33,33,33,34,34,34,34,35,36,36,36,36,35,35,35,36,36,36,36,36,36,36,36,35,35,34,33,34,34,36,36,36,37,37,37,37,37,37,37,37,38,38,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,40,40,38,38,38,38,39,39,40,40,40,40,39,39,39,40,40,40,40,40,41,41,41,41,41,41,41,40,40,39,39,39,39,39,39,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,41,41,41,41,41,41,40,39,39,40,40,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,41,41,41,41,40,40,40,40,39,39,39,39,39,39,39,40,40,40,40,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,38,38,38,39,39,39,39,39,39,39,39,39,39,38,38,38
3,72,65,61,70,66,70,67,66,68,66,68,74,71,68,67,66,69,65,64,68,76,74,74,74,72,70,69,70,71,71,70,72,69,68,64,64,60,63,62,68,66,64,65,62,65,63,61,61,60,60,61,60,62,62,63,64,62,60,59,59,58,58,58,56,57,55,52,51,51,51,51,52,52,53,54,55,54,53,53,53,53,52,52,52,53,53,54,54,54,53,54,54,53,53,54,52,52,52,52,50,51,50,49,49,49,46,46,46,46,47,47,47,47,48,48,48,47,48,48,45,45,45,45,45,46,46,46,45,45,45,45,45,44,44,43,42,43,41,41,41,41,40,39,41,41,41,43,43,43,43,43,44,44,44,44,44,42,42,42,43,42,40,39,39,41,42,42,42,42,42,44,44,44,44,44,44,44,45,45,45,45,45,45,45,44,44,45,46,46,45,45,45,45,45,45,45,45,46,46,46,46,47,47,47,46,46,46,46,46,46,46,46,46,47,47,47,47,48,48,48,48,49,49,49,48,48,47,47,47,47,47,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,49,49,49,49,48,47,47,47,48,48,47,47,47,47,46,47,47,47,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45,45,45,45,45,47,47,48,48,48,49,50,50,50,50,50,50,50,49,49,49,49,48,48,48,48,48,47,47,47,47,47,46,46,46,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,48,48,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,55,55,53,53,50,48,47,47,48,48,48,48,47,46,45,44,44,44,45,45,44,44,44,44,43,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,42,42,42,41,41,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41
4,67,73,70,78,73,65,67,70,71,68,79,80,79,72,66,70,69,68,64,65,62,62,64,63,61,61,60,63,64,62,62,59,60,59,61,62,61,60,62,61,61,63,61,60,61,62,62,62,63,65,64,62,66,61,67,66,66,65,65,64,64,64,65,65,64,63,64,63,64,63,65,66,66,65,62,63,62,61,61,58,58,58,58,59,57,55,53,50,50,51,50,50,50,51,52,50,49,49,50,50,49,49,49,48,47,46,47,48,50,50,50,50,50,48,46,46,45,45,45,45,45,43,45,46,47,48,48,48,48,48,48,47,48,46,47,48,48,48,49,48,48,49,50,50,50,50,52,52,52,51,52,52,52,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50,49,49,50,49,48,48,46,46,47,47,47,47,47,48,48,47,48,48,48,50,49,49,48,48,49,49,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,50,50,50,50,50,50,49,49,49,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,47,45,45,43,42,40,38,38,38,40,41,41,41,41,41,41,41,40,40,40,40,40,40,40,40,39,39,39,38,38,38,38,38,38,39,40,40,40,40,40,40,40,40,40,40,40,39,39,39,39,39,39,40,40,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,41,41,41,41,41,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,44,44,44,44,43,43,44,43,43,44,44,44,44,44,44,44,44,44,43,43,43,43,43,43,43,44,44,44,44,44,44,44,43,43,43,43,44,45,45,45,45,45,45,45,45,45,45,45,44,43,43,43,42,41,41,40,40,40,40,40,41,41,41,40,40,40,39,40,41,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,43,43,43,43,43,43,43,41,41,41,41,41,41,41,42,42,42,42,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,44,44,44,43,43,43,43,43,44,45,46,47,47,47,46,47,47,47,47,47,45,45,45,45,45,45,45,45,45,45,44,44,43,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,46,47,47,47,45,45,45,45,45,45,45,45,44,44,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,47,48,48,48,48,48,48,48,48,49,49,49
5,65,69,66,65,72,77,78,75,78,75,77,75,77,76,72,71,76,72,70,67,70,70,68,71,71,72,71,70,66,65,69,70,70,68,66,66,69,72,69,68,65,64,64,61,61,59,61,59,59,58,59,58,59,58,59,58,60,57,58,58,60,58,58,58,60,60,60,60,60,60,62,59,59,59,59,58,60,60,58,58,58,55,57,56,55,55,57,57,57,57,55,54,54,54,55,54,54,54,52,52,52,47,47,48,46,46,44,44,45,44,43,45,44,43,42,44,42,42,40,41,41,40,40,40,40,38,38,38,38,39,39,39,39,39,39,40,38,37,37,37,37,37,37,37,37,37,37,36,35,35,35,35,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,34,32,32,32,32,31,32,32,32,32,33,33,33,33,33,33,33,33,33,33,34,35,35,35,35,35,35,36,36,36,36,37,37,37,37,35,35,35,34,34,34,34,34,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,35,34,33,31,31,31,31,32,30,30,30,27,27,27,27,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,28,28,28,28,28,28,28,27,25,25,25,24,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,33,33,33,33,33,33,33,33,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,34,34,34,35,35,35,35,36,36,36,36,36,36,36,36,36,36,35,35,35,35,35,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34
6,58,65,64,64,61,67,69,73,73,73,76,72,74,75,73,72,72,69,71,73,71,70,67,69,67,68,63,66,67,66,63,65,67,63,60,61,62,62,58,59,63,62,61,61,60,58,59,58,58,58,56,53,54,55,55,53,54,56,56,57,56,55,53,55,55,52,50,49,49,52,51,53,53,49,49,45,45,47,47,47,46,47,49,49,48,47,48,47,47,48,50,50,51,50,49,47,46,46,46,46,46,46,48,49,51,51,52,52,51,50,50,48,48,49,49,50,51,50,50,50,50,49,49,49,49,50,50,47,47,47,47,47,47,47,47,48,49,49,50,50,49,49,50,51,53,53,54,54,54,54,52,52,52,53,54,54,56,54,54,54,53,53,53,52,52,53,53,53,52,53,52,52,52,52,53,53,54,54,53,53,53,54,54,54,54,54,54,54,54,54,53,53,53,53,53,52,51,51,51,52,53,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,55,55,55,55,55,55,54,54,54,54,56,56,56,56,56,56,56,56,56,56,56,56,56,55,55,56,56,57,57,57,57,57,57,57,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,57,57,58,58,58,59,59,60,62,61,61,61,60,60,60,60,60,60,60,60,60,60,60,61,61,61,60,60,59,59,59,59,59,58,57,57,57,56,56,56,56,56,55,55,55,55,55,55,55,55,55,55,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,55,55,54,54,54,54,54,54,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,57,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,57,57,57,56,56,56,56,56,56,56,56,56,56,56,55,55,55,55,55,55,55,55,54,54,55,55,55,54,54,53,53,54,54,54,54,54,54,54,54,54,54,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,57,57,58,58,58,57,57
7,65,69,70,67,71,76,77,73,72,77,78,78,79,74,77,75,78,75,78,79,77,78,80,79,77,74,73,69,67,70,66,63,64,68,71,71,72,71,68,56,57,56,55,53,50,49,47,45,47,47,45,49,50,50,48,47,50,46,48,50,54,52,53,51,48,45,45,47,46,46,45,45,44,44,42,41,42,42,42,42,41,40,40,40,39,39,38,38,35,33,33,33,32,33,33,32,31,31,27,26,26,25,25,26,24,25,24,24,24,24,24,24,24,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,24,25,25,25,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,27,28,28,28,29,29,29,29,29,29,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,33,34,34,34,35,35,35,36,37,37,37,38,38,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,37,37,37,38,38,38,38,37,37,37,37,37,37,37,37,37,37,37,37,37,37,39,39,39,38,37,37,37,37,38,38,39,38,38,38,38,39,39,39,39,39,39,38,38,38,38,38,38,38,38,38,38,39,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,42,42,42,42,41,41,40,41,41,40,40,39,40,39,39,39,40,40,40,40,41,42,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,43,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,42,42,42,42,42,42,42,42,41,41,41,41,41,42,42,42,42,42,43,43,42,42,42,42,42,42,42,43,44,44,44,44,44,44,43,42,42,42,42,42,42,42,42,42,42,42,43,43,44,44,43,43,43,43,43,43,43,43,42,42,41,40,40,40,40,40,39,39,39,39,39,39,37,37,37,37,37,37,37,37,38,38,38,38,38,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,41,41,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
8,57,65,77,69,70,71,75,81,78,73,67,70,70,73,75,71,74,74,73,75,75,75,77,75,75,75,71,72,71,68,66,65,63,65,65,64,63,59,56,58,57,56,55,59,60,61,61,62,61,56,56,56,56,53,53,53,52,52,52,53,53,53,54,54,53,55,53,53,50,47,46,47,45,44,43,44,45,44,45,45,45,47,47,47,45,46,47,46,46,45,47,47,47,46,46,46,44,44,44,44,41,41,42,40,40,40,39,38,38,38,40,40,40,40,40,42,42,42,41,40,42,43,43,43,43,43,44,44,44,44,44,44,44,44,43,43,43,44,44,44,44,44,44,45,45,45,46,45,45,45,45,45,44,44,44,44,44,45,45,44,44,45,45,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,49,49,48,48,48,48,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,49,48,48,47,47,46,46,46,45,45,45,45,44,44,44,46,46,47,47,47,47,47,46,46,46,46,45,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,47,47,46,45,45,45,45,45,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,48,49,49,49,49,49,49,49,49,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,49,49,49,49,49,49,49,49,49,49,49,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,50,50,50,50,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,51,50,51,51,51,51,51,49,47,47,47,46,46,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,43,43,43,42,40,41,41,41,41,41,41,41,41,41
9,53,56,58,57,52,56,56,59,62,61,67,65,69,66,64,66,67,66,67,70,64,64,64,64,62,62,61,63,62,59,60,61,60,59,56,56,58,59,55,55,53,54,51,52,53,53,54,53,54,53,54,54,53,52,52,51,54,51,50,50,50,50,48,48,46,49,49,48,47,47,47,51,52,50,51,50,49,49,49,53,54,54,54,56,56,57,59,59,58,57,58,60,60,61,62,61,61,59,58,58,58,58,58,58,59,58,58,58,58,57,55,54,54,53,52,51,51,52,52,53,53,51,51,49,48,48,47,46,47,46,47,45,45,44,42,42,42,42,43,43,43,45,44,43,43,42,42,43,43,43,43,43,43,42,42,42,43,43,43,43,44,42,43,43,41,41,42,42,42,43,45,45,45,44,45,45,46,46,46,46,46,45,45,45,44,44,44,44,44,45,45,45,45,46,46,43,41,40,40,40,39,39,39,39,39,39,39,39,39,38,37,38,38,38,38,38,38,38,39,39,39,39,39,40,41,41,40,40,40,40,40,40,40,40,40,40,41,40,40,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,43,43,43,44,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,46,47,46,46,46,46,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,46,46,46,46,47,47,47,47,46,45,45,45,45,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,46,46,46,46,46,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,46,46,46,46,46,46,46,46,46,46,45,45,45,45,45,45,45,45,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,45,45,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,46,46,47,47,47,47,47,47,47,47,47,47,46,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,46,46,46,46,45,45,45,45,45,45,45,44,43,43,43,43,43,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,44,44,43,42,42,42,42,42,42,42,42,41,41,41,41,40,40,40,39,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,40,40,40,40,40,40,39,39,39,39,39,39
